Route,Loco,Required DLC
SPG,BNSF SD40-2,CJP
GWE,Class 08 BLU,"TVL, NTP, GWE"
GWE,Class 31/1 BLU,NTP
GWE,Class 45/1 BLU,NTP
GWE,Class 47,"NTP, BPO, PSC"
GWE,Class 47 GRN,WSR
GWE,Class 52 BLU,"GWE, WSR"
GWE,Class 87,PSC
RT,766.2 DBpbzfa,"DCZ, DRA, FTF, HML, MSB, MKN, RT, RSN, SRM, KWG"
RT,BR 143,"DCZ, DRA, RSN"
WSR,Class 08,"TVL, NTP, BPO, PSC"
WSR,Class 101 BLG,TVL
WSR,Class 150,WCL
WSR,Class 20 RF,TVL
WSR,Class 31/1 BLU,TVL
WSR,Class 37/5,"TVL, WCL"
WSR,Class 40 BLU,NTP
WSR,Class 45/1 BLU,NTP
WSR,Flying Scotsman,PDB
WSR,LMS Fowler 4F,PFR
WSR,LMS Jubilee,"PFR, WCL"
WSR,LMS Stainer 8F,PFR
RSN,BR 112.1,HML
RSN,BR 114,FTF
RSN,BR 155,BRO
RSN,BR 182,"KWG, RT"
RSN,BR 187,SKA
RSN,BR 193 Vectron,"FTF, DRA"
RSN,BR 218,HML
NTP,Class 08,"NTP, TVL, GWE"
MSB,BR 110,"BRO, LFR"
MSB,BR 111,"FTF, MKN, SRM"
MSB,BR 112.1,HML
MSB,BR 114,FTF
MSB,BR 143,"DCZ, DRA, RSN"
MSB,BR 155,"BRO, RSN"
MSB,BR 182,"KWG, RT"
MSB,BR 187,SKA
MSB,BR 193 Vectron,"FTF, DRA"
MSB,BR 218,HML
TVL,Class 08 BLU,"NTP, GWE"
RRO,BR 110,"BRO, LFR"
RRO,BR 111,"FTF, MKN, SRM"
RRO,BR 112.1,HML
RRO,BR 114,FTF
RRO,BR 143,"DCZ, DRA, RSN"
RRO,BR 146.2,"DRA, FTF, MSB, KWG"
RRO,BR 155,"BRO, RSN"
RRO,BR 182,"HML, KWG, RT"
RRO,BR 185.2,"MKN, SRM, MSB, RSN, KWG, VBRG"
RRO,BR 187,SKA
RRO,BR 193 Vectron,FTF
RRO,BR 218,HML
ECW,Class 31/1 BLU,TVL
ECW,Class 37/5,"TVL, WCL"
ECW,Class 40 BLU,NTP
ECW,Class 45/1 BLU,NTP
ECW,Class 47/4,"NTP, BPO, PSC"
ECW,Class 52 BLU,GWE
ECW,Class 87,PSC
HRR,766.2 DBpbzfa,"DCZ, DRA, FTF, HML, MSB, MKN, RT, RSN, SRM, KWG"
HRR,BR 110,"BRO, LFR"
HRR,BR 111,"FTF, MKN, SRM"
HRR,BR 112.1,HML
HRR,BR 114,FTF
HRR,BR 143,"DCZ, DRA, RSN"
HRR,BR 146.2,"DRA, FTF, MSB, KWG"
HRR,BR 155,"BRO, RSN"
HRR,BR 182,"KWG, RT"
HRR,BR 185.2,"MKN, SRM, MSB, RSN, KWG, VBRG"
HRR,BR 187,SKA
HRR,BR 193 Vectron,"FTF, DRA"
HRR,BR 218,HML
SKA,766.2 DBpbzfa,"DCZ, DRA, FTF, HML, MSB, MKN, RT, RSN, SRM, KWG"
SKA,BR 101,HRR
SKA,BR 103,LFR
SKA,BR 110,"BRO, LFR"
SKA,BR 111,"FTF, MKN, SRM"
SKA,BR 112.1,HML
SKA,BR 114,FTF
SKA,BR 143,"DCZ, DRA, RSN"
SKA,BR 146.2,"DRA, FTF, MSB, KWG"
SKA,BR 155,"BRO, RSN"
SKA,BR 182,"HML, KWG, RT"
SKA,BR 185,"DCZ, MKN, SRM"
SKA,BR 185.2,"MKN, SRM, MSB, RSN, KWG, VBRG"
SKA,BR 185.5,"DRA, RRO"
SKA,BR 193 Vectron,"FTF, DRA"
SKA,BR 218,HML
SKA,BR 363,"DCZ, DRA, MTB, RSN"
SKA,BR 422,HRR
SKA,BR 425,HRR
SKA,BR185.2,"MKN, SRM"
SKA,DB BR 101,HRR
SKA,DB BR 111,"FTF, MKN, SRM"
SKA,DB BR 143,"DCZ, DRA, RSN"
SKA,DB BR 218,HML
SKA,DB BR 425,HRR
SKA,DB BR 642,MTB
