Route,Short Name,Region
Sand Patch Grade,SPG,US
Great Western Express,GWE,UK
Rapid Transit,RT,DE
West Somerset Railway,WSR,UK
Ruhr-Sieg Nord: Hagen - Finnentrop,RSN,DE
Long Island Rail Road: New York - Hicksville,LIRR,US
Northern Trans-Pennine: Manchester - Leeds,NTP,UK
Main Spessart Bahn: Aschaffenburg - Gemünden,MSB,DE
Tees Valley Line: Darlington – Saltburn-by-the-Sea,TVL,UK
Peninsula Corridor: San Francisco - San Jose,SFJ,US
Rhein-Ruhr Osten: Wuppertal - Hagen,RRO,DE
East Coastway: Brighton - Eastbourne & Seaford,ECW,UK
Canadian National Oakville Subdivision: Hamilton - Oakville,OSD,CA
Hauptstrecke Rhein-Ruhr: Duisburg - Bochum,HRR,DE
Bakerloo Line,BKL,UK
Schnellfahrstrecke Koln-Aachen Route,SKA,DE
Isle Of Wight: Ryde - Shanklin,IOW,UK
Hauptstrecke München - Augsburg,HMA,DE
LGV Méditerranée: Marseille - Avignon,LGV,FR
Southeastern Highspeed: London St Pancras – Ashford Intl & Faversham,SEH,UK
Arosalinie: Chur - Arosa,ARL,CH
Clinchfield Railroad: Elkhorn - Dante,CCR,US
Cathcart Circle Line: Glasgow - Newton & Neilston,CCL,UK
Hauptstrecke Hamburg - Lübeck,HML,DE
Cane Creek: Thompson - Potash,CCB,US
Northeast Corridor: Boston - Providence,BPE,US
Nahverkehr Dresden -Riesa,DRA,DE
Brighton Main Line: London Victoria - Brighton,LBN,UK
West Cornwall Local: Penzance - St Austell & St Ives,WCL,UK
Sherman Hill: Cheyenne - Laramie,SMH,US
Tharandter Rampe: Dresden - Chemnitz,DCZ,DE
Harlem Line: Grand Central Terminal - North White Plains,HAR,US
S-Bahn Zentralschweiz: Luzern - Sursee,LZN,CH
Horseshoe Curve: Altoona - Johnstown & South Fork,HSC,US
Spirit of Steam: Liverpool Lime Street - Crewe,SoS,UK
Cajon Pass: Barstow - San Bernardino,CJP,US
Schnellfahrstrecke Kassel - Würzburg,KWG,DE
Birmingham Cross-City Line: Lichfield - Bromsgrove & Redditch,BCC,UK
Bahnstrecke Bremen – Oldenburg Add-On,BRO,DE
The Holiday Express - Runaway Elf Add-On,HDX,US
ScotRail Express: Edinburgh - Glasgow,EDN,UK
Northeast Corridor: New York - Trenton,NYT,US
Linke Rheinstrecke: Mainz - Koblenz Add-On,LFR,DE
Niddertalbahn: Bad Vilbel - Glauburg-Stockheim,NID,DE
Midland Main Line: Leicester - Derby & Nottingham,MML,UK
Peak Forest Railway: Ambergate - Chinley & Buxton,PFR,UK
Glossop Line: Manchester - Hadfield & Glossop,MGP,UK
Antelope Valley Line: Los Angeles - Lancaster,ALV,US
East Coast Main Line: Peterborough - Doncaster,PDB,UK
S-Bahn Vorarlberg: Lindau - Bludenz,VBRG,AT
Blackpool Branches: Preston - Blackpool & Ormskirk,BPO,UK
Maintalbahn: Aschaffenburg - Miltenberg,MTB,DE
Bahnstrecke Salzburg - Rosenheim,SRM,AT
London Overground: Gospel Oak - Barking Riverside Add-On,BKG,UK
Fife Circle Line: Edinburgh - Markinch via Dunfermline & Kirkcaldy,FCE,UK
Semmeringbahn: Mürzzuschlag - Wiener Neustadt,SBN,AT
"LIRR Commuter: New York - Long Beach, Hemstead & Hicksville",LIC,US
Berninalinie: Tirano - Ospizio Bernina,BLE,CH
Frankfurt - Fulda: Kinzigtalbahn,FTF,DE
San Bernardino Line: Los Angeles - San Bernardino,SBD,US
West Coast Main Line: London Euston - Milton Keynes,EMK,UK
MBTA Commuter: Boston - Framingham/Worcester Line,BOW,US
WCML: Preston - Carlisle,PSC,UK
Pfälzische Ludwigsbahn: Mannheim – Kaiserslautern,MKN,DE
Mittenwaldbahn: Innsbruck - Garmisch-Partenkirchen,MITT,AT
London Overground Mildmay line: Stratford - Willesden Junction,NLL,UK
Cardiff City Network: Radur & Coryton to Penarth & Bae Caerdydd,CCN,UK
